dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,month_year,cluster,year_month
2012-11-12,Winter,2012,November,Holiday,Monday,Holiday,1,20,74,12,1097,5172,6269,2012-11,1,2012-11
2012-11-13,Winter,2012,November,Not Holiday,Tuesday,Working Day,2,14,66,23,327,3767,4094,2012-11,2,2012-11
2012-11-14,Winter,2012,November,Not Holiday,Wednesday,Working Day,1,12,55,13,373,5122,5495,2012-11,1,2012-11
2012-11-15,Winter,2012,November,Not Holiday,Thursday,Working Day,2,13,62,10,320,5125,5445,2012-11,1,2012-11
2012-11-16,Winter,2012,November,Not Holiday,Friday,Working Day,1,14,52,11,484,5214,5698,2012-11,1,2012-11
2012-11-17,Winter,2012,November,Not Holiday,Saturday,Holiday,1,13,55,12,1313,4316,5629,2012-11,2,2012-11
2012-11-18,Winter,2012,November,Not Holiday,Sunday,Holiday,1,14,69,15,922,3747,4669,2012-11,2,2012-11
2012-11-19,Winter,2012,November,Not Holiday,Monday,Working Day,2,16,62,16,449,5050,5499,2012-11,1,2012-11
2012-11-20,Winter,2012,November,Not Holiday,Tuesday,Working Day,2,15,68,6,534,5100,5634,2012-11,1,2012-11
2012-11-21,Winter,2012,November,Not Holiday,Wednesday,Working Day,1,14,61,7,615,4531,5146,2012-11,2,2012-11
2012-11-22,Winter,2012,November,Holiday,Thursday,Holiday,1,14,58,4,955,1470,2425,2012-11,0,2012-11
2012-11-23,Winter,2012,November,Not Holiday,Friday,Working Day,1,15,57,10,1603,2307,3910,2012-11,0,2012-11
2012-11-24,Winter,2012,November,Not Holiday,Saturday,Holiday,1,11,40,25,532,1745,2277,2012-11,0,2012-11
2012-11-25,Winter,2012,November,Not Holiday,Sunday,Holiday,1,10,47,10,309,2115,2424,2012-11,0,2012-11
2012-11-26,Winter,2012,November,Not Holiday,Monday,Working Day,1,13,54,3,337,4750,5087,2012-11,1,2012-11
2012-11-27,Winter,2012,November,Not Holiday,Tuesday,Working Day,2,12,79,16,123,3836,3959,2012-11,2,2012-11
2012-11-28,Winter,2012,November,Not Holiday,Wednesday,Working Day,1,12,51,14,198,5062,5260,2012-11,1,2012-11
2012-11-29,Winter,2012,November,Not Holiday,Thursday,Working Day,1,12,56,8,243,5080,5323,2012-11,1,2012-11
2012-11-30,Winter,2012,November,Not Holiday,Friday,Working Day,1,12,65,4,362,5306,5668,2012-11,1,2012-11
2012-12-01,Winter,2012,December,Not Holiday,Saturday,Holiday,2,12,81,4,951,4240,5191,2012-12,2,2012-12
2012-12-02,Winter,2012,December,Not Holiday,Sunday,Holiday,2,14,82,8,892,3757,4649,2012-12,2,2012-12
2012-12-03,Winter,2012,December,Not Holiday,Monday,Working Day,1,19,77,6,555,5679,6234,2012-12,1,2012-12
2012-12-04,Winter,2012,December,Not Holiday,Tuesday,Working Day,1,20,73,12,551,6055,6606,2012-12,1,2012-12
2012-12-05,Winter,2012,December,Not Holiday,Wednesday,Working Day,1,18,48,22,331,5398,5729,2012-12,1,2012-12
2012-12-06,Winter,2012,December,Not Holiday,Thursday,Working Day,1,10,51,12,340,5035,5375,2012-12,1,2012-12
2012-12-07,Winter,2012,December,Not Holiday,Friday,Working Day,2,13,76,9,349,4659,5008,2012-12,2,2012-12
2012-12-08,Winter,2012,December,Not Holiday,Saturday,Holiday,2,16,91,7,1153,4429,5582,2012-12,2,2012-12
2012-12-09,Winter,2012,December,Not Holiday,Sunday,Holiday,2,16,91,11,441,2787,3228,2012-12,2,2012-12
2012-12-10,Winter,2012,December,Not Holiday,Monday,Working Day,2,18,92,13,329,4841,5170,2012-12,1,2012-12
2012-12-11,Winter,2012,December,Not Holiday,Tuesday,Working Day,2,14,60,20,282,5219,5501,2012-12,1,2012-12
2012-12-12,Winter,2012,December,Not Holiday,Wednesday,Working Day,2,12,54,11,310,5009,5319,2012-12,1,2012-12
2012-12-13,Winter,2012,December,Not Holiday,Thursday,Working Day,1,12,49,12,425,5107,5532,2012-12,1,2012-12
2012-12-14,Winter,2012,December,Not Holiday,Friday,Working Day,1,12,64,9,429,5182,5611,2012-12,1,2012-12
2012-12-15,Winter,2012,December,Not Holiday,Saturday,Holiday,1,13,65,7,767,4280,5047,2012-12,2,2012-12
2012-12-16,Winter,2012,December,Not Holiday,Sunday,Holiday,2,15,84,7,538,3248,3786,2012-12,2,2012-12
2012-12-17,Winter,2012,December,Not Holiday,Monday,Working Day,2,16,91,7,212,4373,4585,2012-12,2,2012-12
2012-12-18,Winter,2012,December,Not Holiday,Tuesday,Working Day,1,17,67,15,433,5124,5557,2012-12,1,2012-12
2012-12-19,Winter,2012,December,Not Holiday,Wednesday,Working Day,1,14,63,12,333,4934,5267,2012-12,1,2012-12
2012-12-20,Winter,2012,December,Not Holiday,Thursday,Working Day,2,14,67,9,314,3814,4128,2012-12,2,2012-12
2012-12-21,Spring,2012,December,Not Holiday,Friday,Working Day,2,13,56,25,221,3402,3623,2012-12,2,2012-12
2012-12-22,Spring,2012,December,Not Holiday,Saturday,Holiday,1,11,44,27,205,1544,1749,2012-12,0,2012-12
2012-12-23,Spring,2012,December,Not Holiday,Sunday,Holiday,1,10,52,9,408,1379,1787,2012-12,0,2012-12
2012-12-24,Spring,2012,December,Not Holiday,Monday,Working Day,2,9,79,5,174,746,920,2012-12,0,2012-12
2012-12-25,Spring,2012,December,Holiday,Tuesday,Holiday,2,12,73,11,440,573,1013,2012-12,0,2012-12
2012-12-26,Spring,2012,December,Not Holiday,Wednesday,Working Day,3,10,82,21,9,432,441,2012-12,0,2012-12
2012-12-27,Spring,2012,December,Not Holiday,Thursday,Working Day,2,10,65,23,247,1867,2114,2012-12,0,2012-12
2012-12-28,Spring,2012,December,Not Holiday,Friday,Working Day,2,10,59,10,644,2451,3095,2012-12,0,2012-12
2012-12-29,Spring,2012,December,Not Holiday,Saturday,Holiday,2,10,75,8,159,1182,1341,2012-12,0,2012-12
2012-12-30,Spring,2012,December,Not Holiday,Sunday,Holiday,1,10,48,24,364,1432,1796,2012-12,0,2012-12
2012-12-31,Spring,2012,December,Not Holiday,Monday,Working Day,2,9,58,10,439,2290,2729,2012-12,0,2012-12
